sector,alojamiento_formal,gastronomia_bar,vivienda_turistica,avaluo_ph_m2,total_puntos,vt_2023,crecimiento_pct,pct_vivienda_turistica,pct_alojamiento_formal,pct_gastronomia_bar,intensidad_vt,pct_fuera_zit,cluster_id,nodo,perfil
SAMPER,2,0,30,3370215.1066666665,32,28.0,6.9,93.8,6.2,0.0,3.4339872044851463,0.0,0,3-4,Foco turístico emergente
SAMPER MENDOZA,0,0,5,2504960.53,5,0.0,500.0,100.0,0.0,0.0,1.791759469228055,100.0,3,8-3,"Residencial ordinario, sin presión turística"
SAN ANTONIO ENGATIVA,0,0,7,1792069.165,7,3.0,100.0,100.0,0.0,0.0,2.0794415416798357,100.0,3,8-0,"Residencial ordinario, sin presión turística"
SAN ANTONIO NOROCCIDENTAL,0,1,4,2903244.0700000003,5,3.0,25.0,80.0,0.0,20.0,1.6094379124341003,100.0,5,3-1,"Residencial ordinario, sin presión turística"
SAN ANTONIO URBANO,0,0,7,1528349.095,7,6.0,14.3,100.0,0.0,0.0,2.0794415416798357,100.0,3,6-0,"Residencial ordinario, sin presión turística"
SAN BERNARDO,4,0,5,3398296.24,9,5.0,0.0,55.6,44.4,0.0,1.791759469228055,0.0,1,7-6,"Residencial ordinario, sin presión turística"
SAN DIEGO,5,1,10,4277842.0385714285,16,5.0,83.3,62.5,31.2,6.2,2.3978952727983707,30.000000000000004,0,5-7,Foco turístico emergente
SAN FELIPE,3,0,15,3799945.966666667,18,5.0,166.7,83.3,16.7,0.0,2.772588722239781,0.0,0,2-4,Foco turístico emergente
SAN FERNANDO,0,0,3,3398296.24,3,1.0,100.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,6-2,"Residencial ordinario, sin presión turística"
SAN FERNANDO OCCIDENTAL,0,0,5,2875733.19,5,1.0,200.0,100.0,0.0,0.0,1.791759469228055,100.0,3,8-1,"Residencial ordinario, sin presión turística"
SAN FRANCISCO,0,1,3,3398296.24,4,1.0,100.0,75.0,0.0,25.0,1.3862943611198906,100.0,5,2-1,"Residencial ordinario, sin presión turística"
SAN GABRIEL,0,0,3,3398296.24,3,0.0,300.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,7-2,"Residencial ordinario, sin presión turística"
SAN GABRIEL NORTE,0,1,4,3528383.84,5,3.0,25.0,80.0,0.0,20.0,1.6094379124341003,100.0,5,2-2,"Residencial ordinario, sin presión turística"
SAN IGNACIO,0,1,15,2670830.34625,16,11.0,33.3,93.8,0.0,6.2,2.772588722239781,100.0,0,3-3,Foco turístico emergente
